Designator,Mid X,Mid Y,Layer,Rotation
C2,24.13, 5.08,Top,270.0
C3,25.91, 5.08,Top,270.0
C10,18.41, 5.08,Top,270.0
C11,20.32, 5.08,Top,270.0
C15,22.35, 5.08,Top,270.0
C16,11.94, 9.14,Top,270.0
C17,27.56, 5.08,Top,90.0
C18,16.51, 5.08,Top,270.0
C19,29.21, 5.08,Top,270.0
D4, 5.54, 7.75,Top,180.0
J1, 1.65,14.99,Top,270.0
L, 8.13,19.05,Top,270.0
LED1,27.94,13.97,Top,90.0
R1,17.78,15.24,Top,180.0
R4, 6.35, 5.08,Top,180.0
R6,25.40,10.16,Top,0.0
R9, 8.26,17.02,Top,180.0
R13,17.78, 2.54,Top,0.0
S1,11.94, 1.78,Top,0.0
U2, 8.89,10.16,Top,270.0
U3, 6.73, 2.29,Top,270.0
